Hello                  .           你好     .          Nǐ hǎo               .日本擬好                     .韓國你好,
bye                    .           再見     .          Zài jiàn             .日本擬好                     .韓國你好,
fuck                   .           早安     .          Tā mā de             .日本擬好                     .韓國你好,
mother                 .           午安     .          Mā mā                .日本擬好                     .韓國你好,
father                 .           晚安     .          Bà ba                .日本擬好                     .韓國你好,
brother                .           早餐     .          Gē gē                .日本擬好                     .韓國你好,
sister                 .           午餐     .          Jiě jie              .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           睡覺     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
Good morning           .           晚餐     .          Zǎo ān               .日本擬好                     .韓國你好,
